"pers","origRating","utilRating","innovRating","appropRating"
816,1,1,3,2
817,4,2,3,3
824,5,2,4,3
825,1,4,1,5
826,4,3,5,4
829,5,1,4,3
830,4,3,4,5
832,5,3,5,3
843,5,1,5,4
848,5,4,3,2
849,5,1,5,1
862,5,1,5,1
863,5,4,5,4
865,4,5,4,1
871,4,3,5,4
874,4,3,2,4
877,4,5,4,4
879,4,5,5,5
887,5,4,5,3
889,5,3,3,4
890,4,4,5,4
893,5,4,4,2
895,3,3,2,3
899,4,4,2,5
901,5,2,5,2
906,3,3,3,3
915,5,1,5,1
916,5,4,4,2
921,3,3,3,3
927,3,3,3,3
929,5,5,4,3
931,5,4,5,4
932,5,4,4,2
934,3,4,3,4
939,5,4,4,4
941,4,1,1,3
955,3,4,3,2
957,4,2,5,1
958,5,5,5,5
960,5,2,4,2
961,1,2,2,1
962,4,5,5,3
966,5,5,4,4
968,5,3,5,4
970,5,4,5,2
974,5,5,4,3
977,5,5,5,5
982,2,4,2,3
984,2,5,4,4
990,5,5,5,1
991,4,3,4,3
995,4,1,4,3
996,5,3,4,1
999,5,3,4,2
1001,1,5,3,5
1002,5,3,3,2
1005,5,2,5,2
1006,5,2,5,4
1008,3,3,3,3
1010,5,1,4,1
1013,5,2,4,1
1014,4,4,5,4
1015,3,4,4,4
1017,5,1,5,2
1019,5,4,5,4
1020,5,3,4,3
1021,5,1,5,3
1022,5,4,5,3
1023,4,4,4,1
1024,5,2,4,2
1025,5,4,5,4
1026,4,4,3,5
1028,5,2,5,4
1029,4,5,3,3
1030,5,3,3,3
1031,4,4,4,4
1032,5,4,3,2
1033,5,3,5,3
1034,5,3,4,4
1035,4,4,2,5
1036,5,1,4,4
1037,5,1,5,1
1038,5,2,5,4
1040,5,4,5,1
1041,4,4,5,4
1042,2,5,2,4
1043,5,4,4,3
1044,5,2,5,1
1045,4,4,2,5
1046,5,5,4,5
1047,5,4,5,2
1049,5,3,5,3
1050,4,4,4,3
1051,5,4,4,3
1052,5,2,4,3
1053,5,2,4,2
1054,4,4,4,3
1056,5,4,5,2
1058,5,4,5,1
1064,5,2,4,5
1068,5,4,5,3
1070,4,4,3,4
1071,5,4,3,5
1074,5,4,4,2
1078,5,5,5,2
1083,5,1,5,2
1087,4,4,4,4
1089,5,5,5,5
1090,3,3,4,4
1091,5,4,5,2
1094,4,4,5,4
1095,5,5,3,4
1099,5,4,5,4
1101,5,5,4,5
1104,4,5,4,5
1106,3,5,4,4
1107,4,3,4,5
1108,4,4,5,5
1109,5,3,4,2
1112,5,4,4,4
1114,4,5,5,5
1115,4,4,4,4
1116,3,4,4,5
1117,5,5,5,1
1119,5,5,5,5
1120,5,4,4,4
1121,5,4,5,3
1122,5,5,5,5
1123,4,4,4,4
1127,4,5,3,4
1130,5,4,5,3
1131,5,5,2,4
1133,5,3,4,2
1135,5,2,4,2
1138,5,3,5,4
1141,4,1,2,3
1144,5,4,5,3
1145,5,2,5,1
1146,5,4,4,5
1148,5,5,4,4
1149,5,2,1,3
1151,5,4,5,4
1152,4,3,2,2
1153,5,4,5,2
1155,5,1,1,1
1156,5,3,4,4
1157,5,1,5,1
1158,4,4,4,4
1159,5,1,5,2
1160,4,5,3,4
1161,5,3,4,3
1167,5,3,5,2
1170,5,2,5,3
1173,5,4,3,3
1174,4,4,5,3
1176,5,1,5,1
1177,4,4,4,4
1178,4,2,4,2
1181,5,4,5,2
1183,5,2,5,2
1184,5,2,5,2
1188,5,2,5,5
1190,5,4,5,4
1193,5,3,4,3
1195,5,2,5,2
1196,5,4,3,5
1198,4,5,4,1
1199,4,5,5,4
1201,5,4,3,3
1202,5,3,5,2
1207,1,4,2,2
1208,5,3,4,3
